,Num,Title,Artist(s),Year,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
162,63,Girl Crush,Little Big Town,2015,Little Big Town,33.471773,-86.800823,"Homewood, AL",studio,vocal,,0.0,0.841632,0.499574,193.32,0.224675,0.0,0,0.111567,-10.22,1,0.030155,173.788,0.353819
163,64,Slow Motion,Trey Songz,2015,Trey Songz,37.235551,-77.335396,"Petersburg, VA",studio,vocal,,0.0,0.736315,0.675648,212.03592,0.3912,5e-06,5,0.09,-8.912,1,0.051025,94.931,0.321791
164,65,Drag Me Down,One Direction,2015,One Direction,51.5063,-0.12714,"London, England, GB",studio,electric,vocal,0.0,0.106659,0.704135,184.13669,0.409057,0.0,8,0.588176,-16.905,1,0.059408,140.952,0.598674
165,66,Truffle Butter,Nicki Minaj featuring Drake and Lil Wayne,2015,Nicki Minaj,40.714269,-74.005973,"New York, NY",studio,electric,vocal,0.0,0.290601,0.912423,210.95288,0.687428,0.000173,2,0.133953,-6.436,1,0.055165,104.91,0.525449
166,67,One Last Time,Ariana Grande,2015,Ariana Grande,26.375954,-80.10717,"Boca Raton, FL",studio,electric,vocal,0.0,0.054999,0.609144,184.46667,0.732316,2e-06,8,0.269859,-4.331,1,0.034233,124.88,0.100751
167,68,Chains,Nick Jonas,2015,Nick Jonas,41.0108,-74.1667,"Wyckoff, NJ, US",studio,electric,vocal,0.0,0.097169,0.602373,210.89288,0.702378,0.0,0,0.132708,-5.514,0,0.051248,127.889,0.567088
168,69,All Eyes on You,Meek Mill featuring Chris Brown and Nicki Minaj,2015,Meek Mill,39.9523,-75.1624,"Philadelphia, PA, US",studio,electric,vocal,0.0,0.021415,0.547512,234.4239,0.340126,0.0,11,0.142226,-17.46,0,0.242699,77.518,0.316582
169,70,No Type,Rae Sremmurd,2015,Rae Sremmurd,33.844371,-84.47405,"Atlanta, Georgia",studio,electric,vocal,0.0,0.010656,0.862445,199.02667,0.487991,1e-06,6,0.097875,-8.386,1,0.150034,125.006,0.215166
170,71,Riptide,Vance Joy,2015,Vance Joy,,,,,,,,,,,,,,,,,,,
171,72,Classic Man,Jidenna featuring Roman GianArthur,2015,Jidenna,44.392496,-89.81814,Wisconsin,studio,electric,vocal,0.0,0.184716,0.789686,226.0,0.584552,0.0,8,0.291945,-6.058,1,0.034823,94.072,0.593224
172,73,Ex's & Oh's,Elle King,2015,Elle King,40.3736,-82.7755,Ohio,studio,electric,vocal,0.0,0.018819,0.604726,202.95946,0.920645,0.0,7,0.051585,-3.065,1,0.107693,140.04,0.435729
173,74,Dear Future Husband,Meghan Trainor,2015,Meghan Trainor,41.2852,-70.0993,"Nantucket, MA, US",studio,electric,vocal,0.0,0.352095,0.664212,182.72,0.787599,0.0,2,0.322829,-4.763,1,0.200637,158.959,0.822752
174,75,Marvin Gaye,Charlie Puth featuring Meghan Trainor,2015,Charlie Puth,42.738888,-89.0403,"Janesville, WI",studio,vocal,,0.0,0.450539,0.792167,187.7415,0.620994,0.0,1,0.336729,-5.267,0,0.049016,110.025,0.837845
175,76,Like I'm Gonna Lose You,Meghan Trainor featuring John Legend,2015,Meghan Trainor,41.2852,-70.0993,"Nantucket, MA, US",studio,vocal,,0.0,0.400051,0.630465,225.05333,0.529986,0.0,0,0.176582,-7.259,1,0.043352,108.038,0.435457
176,77,Habits (Stay High),Tove Lo,2015,Tove Lo,59.3333333,18.05,"stockholm, sweden",studio,electric,vocal,0.0,0.038618,0.696313,207.85333,0.678049,7e-05,10,0.097122,-4.241,1,0.033325,110.027,0.374755
177,78,The Hanging Tree,James Newton Howard featuring Jennifer Lawrence,2015,James Newton Howard,34.0535,-118.245,"Los Angeles, CA, US",studio,electric,vocal,0.0,0.337313,0.256263,218.53333,0.082932,8.2e-05,9,0.276108,-17.911,0,0.033042,93.34,0.141139
178,79,CoCo,O.T. Genasis,2015,O.T. Genasis,33.803448,-118.168135,"Long Beach, California",studio,electric,vocal,0.0511237100842,0.002253,0.897055,239.57333,0.602601,3e-06,8,0.310408,-5.972,1,0.155035,119.96,0.193992
179,80,Bang Bang,"Jessie J, Ariana Grande, and Nicki Minaj",2015,Jessie J,51.5734,0.14148,"Chadwell Heath, London, England, GB",studio,electric,vocal,0.0,0.308488,0.704604,192.18667,0.795983,1e-06,0,0.134449,-4.078,0,0.10417,149.986,0.729747
180,81,Lay Me Down,Sam Smith,2015,Sam Smith,51.866667,0.166667,"Bishops Stortford, England",studio,vocal,,0.0,0.761553,0.427967,253.20812,0.30953,1.1e-05,4,0.106323,-9.545,1,0.044082,123.403,0.19286
181,82,Tuesday,ILoveMakonnen featuring Drake,2015,ILoveMakonnen,,,,,,,,,,,,,,,,,,,
182,83,Hit the Quan,iLoveMemphis,2015,iLoveMemphis,,,,remix,studio,electric,0.0,0.000235,0.741443,181.08082,0.487982,0.0,8,0.048816,-8.253,1,0.361871,160.018,0.623736
183,84,Downtown,"Macklemore and Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee, and Grandmaster Caz",2015,Macklemore,47.60621,-122.332071,"Seattle, WA",studio,electric,vocal,0.0,0.164097,0.810345,265.7171,0.312779,1e-06,1,0.233517,-16.358,1,0.144591,109.733,0.770995
184,85,House Party,Sam Hunt,2015,Sam Hunt,34.0145,-85.2566,"Cedartown, GA, US",studio,electric,vocal,0.0,0.133589,0.73153,182.80444,0.568652,0.0,10,0.049308,-16.628,1,0.046128,106.11,0.876035
185,86,Ayo,Chris Brown and Tyga,2015,Chris Brown,,,,studio,electric,vocal,0.0,0.017788,0.874955,254.96,0.704993,8e-06,6,0.069673,-5.904,1,0.030854,105.997,0.600668
186,87,Kick the Dust Up,Luke Bryan,2015,Luke Bryan,36.165688,-86.778098,"Nashville, Tennessee ",studio,electric,vocal,0.0,0.179897,0.596184,192.90612,0.857654,0.0,1,0.320705,-2.377,1,0.049338,172.108,0.808841
187,88,Blessings,Big Sean featuring Drake,2015,Big Sean,42.347021,-83.060184,"Detroit, MI",studio,vocal,,0.0,0.607998,0.626815,250.10304,0.732301,0.0,6,0.250352,-7.149,1,0.494897,119.093,0.364157
188,89,Budapest,George Ezra,2015,George Ezra,51.45,-2.583333,"Bristol, UK",studio,electric,vocal,0.0,0.18007,0.717591,201.64,0.45005,1e-06,5,0.112324,-8.845,1,0.028021,127.775,0.42064
189,90,Chandelier,Sia,2015,Sia,-34.933333,138.6,"Adelaide, Australia",studio,electric,vocal,0.0,0.117818,0.599566,196.53288,0.865068,5.1e-05,10,0.086979,-5.203,0,0.034423,119.947,0.622107
190,91,Heartbeat Song,Kelly Clarkson,2015,Kelly Clarkson,32.492683,-97.264359,"Burleson, TX",studio,electric,vocal,0.0,0.012047,0.499696,198.69333,0.791056,0.0,6,0.064544,-3.711,1,0.0505,149.093,0.465266
191,92,Don't,Ed Sheeran,2015,Ed Sheeran,52.166667,1.0,"Suffolk, England",studio,electric,vocal,0.0,0.009122,0.79997,221.84,0.624131,0.0,1,0.346584,-6.928,1,0.077493,95.06,0.844979
192,93,Ghost,Ella Henderson,2015,Ella Henderson,51.5072648,-0.1278328,London,studio,electric,vocal,0.0,0.05611,0.68119,213.25333,0.829927,5e-06,9,0.140342,-4.649,1,0.044828,104.983,0.482043
193,94,Here,Alessia Cara,2015,Alessia Cara,,,,studio,electric,vocal,0.0,0.084028,0.374612,200.22612,0.817767,0.0,0,0.056898,-4.031,1,0.140892,112.887,0.331628
194,95,Waves,Mr Probz,2015,Mr Probz,52.05,4.5,"Zoetermeer, Netherlands",studio,electric,vocal,0.0,0.017121,0.843958,207.42667,0.544825,0.000436,5,0.088406,-8.587,0,0.035696,119.998,0.461513
195,96,El Perdón,Nicky Jam and Enrique Iglesias,2015,Nicky Jam,18.2233,-66.4289,Puerto Rico,studio,electric,,0.0,0.000577,0.7003,348.04381,0.908296,0.867089,0,0.066372,-7.132,1,0.052743,124.998,0.114123
196,97,She Knows,Ne-Yo featuring Juicy J,2015,Ne-Yo,36.301068,-115.206969,"Las Vegas, Nevada",studio,electric,vocal,0.0,0.011436,0.63951,156.44689,0.260174,0.0,4,0.3608,-18.315,1,0.035362,142.846,0.544282
197,98,Night Changes,One Direction,2015,One Direction,51.5063,-0.12714,"London, England, GB",studio,vocal,,0.0301169889928,0.858885,0.671553,226.6,0.520009,0.0,8,0.115136,-7.747,1,0.035291,120.001,0.395633
198,99,Back to Back,Drake,2015,Drake,43.666667,-79.416667,"Toronto, Canada",studio,electric,vocal,0.0,0.168952,0.695816,178.18077,0.262854,0.0,8,0.097088,-17.465,0,0.43167,86.733,0.306762
199,100,How Deep Is Your Love,Calvin Harris and Disciples,2015,Calvin Harris,55.0682,-3.6093,"Dumfries, Scotland, GB",studio,electric,vocal,0.0,0.016481,0.71874,220.52,0.86311,0.005274,4,0.06668,-4.693,0,0.062423,122.114,0.290828
