,Year,Artist(s),Title,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
201,1982,Michael Murphey,Whats Forever For,Michael Murphey,,,,,,,,,,,,,,,,,,,
202,1982,Stevie Nicks,Edge of Seventeen (Just Like the White Winged Dove),Stevie Nicks,,,,,,,,,,,,,,,,,,,
203,1983,Bob Seger & The Silver Bullet Band,Shame on the Moon,Bob Seger & The Silver Bullet Band,,,,,,,,,,,,,,,,,,,
204,1983,The Greg Kihn Band,Jeopardy,The Greg Kihn Band,,,,,,,,,,,,,,,,,,,
205,1983,Adam Ant,Goody Two-Shoes,Adam Ant,51.5063,-0.12714,"London, England, GB",studio,electric,,0.0,0.001807,0.65348,209.98667,0.950705,0.560491,4,0.030661,-5.899,0,0.090076,95.781,0.744849
206,1983,Laura Branigan,Solitaire,Laura Branigan,,,,,,,,,,,,,,,,,,,
207,1983,Daryl Hall & John Oates,Family Man,Daryl Hall & John Oates,,,,,,,,,,,,,,,,,,,
208,1983,Eric Clapton,Ive Got a Rock n Roll Heart,Eric Clapton,,,,,,,,,,,,,,,,,,,
209,1984,Daryl Hall & John Oates,Say It Isnt So,Daryl Hall & John Oates,,,,,,,,,,,,,,,,,,,
210,1984,Olivia Newton-John,Twist of Fate,Olivia Newton-John,-37.816667,144.966667,"Melbourne, Australia",studio,electric,vocal,0.0,0.394578,0.584319,222.63388,0.866666,4.6e-05,1,0.428586,-4.387,0,0.041799,163.717,0.697799
211,1984,Kenny Rogers,Islands in the Stream,Kenny Rogers,,,,,,,,,,,,,,,,,,,
212,1984,KC & the Sunshine Band,Give It Up,KC & the Sunshine Band,,,,,,,,,,,,,,,,,,,
213,1984,John Cougar Mellencamp,Pink Houses,John Cougar Mellencamp,,,,,,,,,,,,,,,,,,,
214,1985,USA for Africa,We Are the World,USA for Africa,,,,,,,,,,,,,,,,,,,
215,1985,Stevie Wonder,Part-Time Lover,Stevie Wonder,42.347021,-83.060184,Detroit Michigan,studio,electric,vocal,0.0,0.210516,0.680346,255.46667,0.641784,0.0,10,0.055058,-12.277,0,0.045183,174.827,0.961086
216,1985,Jack Wagner,All I Need,Jack Wagner,38.5535,-91.0011,"Washington, MO, US",studio,electric,vocal,0.0,0.147059,0.439376,207.70667,0.638305,0.0,9,0.10732,-4.253,1,0.026948,140.497,0.259445
217,1985,Phil Collins,Dont Lose My Number,Phil Collins,,,,,,,,,,,,,,,,,,,
218,1985,John Cougar Mellencamp,Lonely Ol Night,John Cougar Mellencamp,,,,,,,,,,,,,,,,,,,
219,1986,Miami Sound Machine,Words Get in the Way,Miami Sound Machine,,,,,,,,,,,,,,,,,,,
220,1986,John Cougar Mellencamp,R.O.C.K. in the U.S.A.,John Cougar Mellencamp,,,,,,,,,,,,,,,,,,,
221,1986,John Cougar Mellencamp,Small Town,John Cougar Mellencamp,,,,,,,,,,,,,,,,,,,
222,1986,Starpoint,Object of My Desire,Starpoint,40.7146,-74.0071,"New York, NY, US",studio,electric,vocal,0.0,0.031288,0.761453,233.06404,0.576215,0.001882,8,0.122742,-15.449,1,0.048879,115.947,0.84535
223,1986,Force MDs,Tender Love,Force MDs,,,,,,,,,,,,,,,,,,,
224,1987,Bob Seger,Shakedown,Bob Seger,,,,,,,,,,,,,,,,,,,
225,1987,Michael Jackson with Siedah Garrett,I Just Cant Stop Loving You,Michael Jackson with Siedah Garrett,,,,,,,,,,,,,,,,,,,
226,1988,The Bangles,A Hazy Shade of Winter,The Bangles,,,,,,,,,,,,,,,,,,,
227,1988,Pet Shop Boys with Dusty Springfield,What Have I Done to Deserve This?,Pet Shop Boys with Dusty Springfield,,,,,,,,,,,,,,,,,,,
228,1988,Roger Troutman,I Want to Be Your Man,Roger Troutman,,,,,,,,,,,,,,,,,,,
229,1988,Daryl Hall & John Oates,Everything Your Heart Desires,Daryl Hall & John Oates,,,,,,,,,,,,,,,,,,,
230,1988,John Cougar Mellencamp,Cherry Bomb,John Cougar Mellencamp,,,,,,,,,,,,,,,,,,,
231,1989,Will to Power,"Baby, I Love Your Way/Freebird Medley",Will to Power,,,,,,,,,,,,,,,,,,,
232,1989,Edie Brickell & New Bohemians,What I Am,Edie Brickell & New Bohemians,,,,,,,,,,,,,,,,,,,
233,1989,Ann Wilson,Surrender To Me,Ann Wilson,,,,,,,,,,,,,,,,,,,
234,1990,Jon Bon Jovi,Blaze of Glory,Jon Bon Jovi,,,,,,,,,,,,,,,,,,,
235,1990,The B-52s,Roam,The B-52s,,,,,,,,,,,,,,,,,,,
236,1990,The B-52s,Love Shack,The B-52s,,,,,,,,,,,,,,,,,,,
237,1991,Mariah Carey,Someday,Mariah Carey,40.714269,-74.005973,"New York, NY",studio,electric,vocal,0.0,0.205733,0.684881,246.10667,0.818829,2e-06,1,0.025147,-8.686,0,0.040483,109.855,0.933882
238,1991,DJ Jazzy Jeff & The Fresh Prince,Summertime,DJ Jazzy Jeff & The Fresh Prince,,,,,,,,,,,,,,,,,,,
239,1991,Rythm Syndicate,P.A.S.S.I.O.N.,Rythm Syndicate,,,,,,,,,,,,,,,,,,,
240,1991,Prince,Cream,Prince,,,,,,,,,,,,,,,,,,,
241,1991,Jesus Jones,Real Real Real,Jesus Jones,51.25,-1.916667,"Bradford-on-Avon, Wiltshire, England",studio,electric,vocal,0.0,0.047847,0.596331,188.76,0.547294,4.9e-05,0,0.156984,-13.136,1,0.033135,110.209,0.688005
242,1992,Jodeci,Come and Talk to Me,Jodeci,35.26002,-80.804151,"Charlotte, NC ",remix,studio,electric,0.0,0.029174,0.715275,293.92,0.724631,2.4e-05,11,0.184539,-5.207,0,0.322442,172.194,0.662006
243,1992,Shakespears Sister,Stay,Shakespears Sister,,,,,,,,,,,,,,,,,,,
244,1992,Hammer,2 Legit 2 Quit,Hammer,,,,,,,,,,,,,,,,,,,
245,1993,Prince,7,Prince,,,,,,,,,,,,,,,,,,,
246,1993,DJ Jazzy Jeff & The Fresh Prince,Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince,,,,,,,,,,,,,,,,,,,
247,1993,Dino,O-o-h Child,Dino,,,,,,,,,,,,,,,,,,,
248,1994,"Bryan Adams,  Rod Stewart",All for Love,"Bryan Adams,  Rod Stewart",,,,,,,,,,,,,,,,,,,
249,1994,Mariah Carey,Without You / Never Forget You,Mariah Carey,,,,,,,,,,,,,,,,,,,
250,1994,Snoop Doggy Dogg,Gin and Juice,Snoop Doggy Dogg,,,,,,,,,,,,,,,,,,,
251,1994,Immature,Never Lie,Immature,,,,,,,,,,,,,,,,,,,
252,1994,Snoop Doggy Dogg,Whats My Name?,Snoop Doggy Dogg,,,,,,,,,,,,,,,,,,,
253,1994,Ini Kamoze,Here Comes the Hotstepper,Ini Kamoze,18.2788,-76.8842,"Saint Mary, JM",studio,electric,vocal,0.0,0.023256,0.883807,249.82667,0.571007,0.000133,7,0.190612,-5.488,1,0.149404,100.359,0.433078
254,1995,The Notorious B.I.G.,One More Chance,The Notorious B.I.G.,40.714269,-74.005973,"New York, NY",remix,studio,electric,0.0,0.342751,0.838733,373.37333,0.933162,0.0,0,0.294996,-3.563,1,0.20248,96.167,0.601876
255,1995,Method Man,Ill Be There for You/Youre All I Need to Get By,Method Man,,,,,,,,,,,,,,,,,,,
256,1995,4 P.M.,Sukiyaki,4 P.M.,,,,,,,,,,,,,,,,,,,
257,1995,Immature,Constantly,Immature,,,,,,,,,,,,,,,,,,,
258,1996,Los del Rio,Macarena (Bayside Boys Mix),Los del Rio,,,,,,,,,,,,,,,,,,,
259,1996,Toni Braxton,You're Makin' Me High / Let It Flow,Toni Braxton,,,,,,,,,,,,,,,,,,,
260,1996,Whitney Houston,Exhale (Shoop Shoop),Whitney Houston,,,,,,,,,,,,,,,,,,,
261,1996,Gin Blossoms,Follow You Down / Til I Hear It from You,Gin Blossoms,,,,,,,,,,,,,,,,,,,
262,1996,2Pac,How Do U Want It / California Love,2Pac,,,,,,,,,,,,,,,,,,,
263,1996,Alanis Morissette,You Learn / You Oughta Know,Alanis Morissette,,,,,,,,,,,,,,,,,,,
264,1996,Monica,Before You Walk Out of My Life / Like This and Like That,Monica,,,,,,,,,,,,,,,,,,,
265,1996,Monica,Why I Love You So Much / Ain't Nobody,Monica,,,,,,,,,,,,,,,,,,,
266,1996,Hootie & the Blowfish,Old Man and Me (When I Get To Heaven),Hootie & the Blowfish,,,,,,,,,,,,,,,,,,,
267,1996,Crucial Conflict,Hay,Crucial Conflict,41.8842,-87.6324,"Chicago, IL, US",studio,electric,vocal,0.0,0.000163,0.605203,260.5971,0.494746,0.0,6,0.248139,-17.742,0,0.077939,70.074,0.846944
268,1997,Elton John,Something About the Way You Look Tonight / Candle in the Wind 1997,Elton John,,,,,,,,,,,,,,,,,,,
269,1997,Jewel,Foolish Games / You Were Meant for Me,Jewel,,,,,,,,,,,,,,,,,,,
270,1997,Keith Sweat,Nobody_(Keith_Sweat_song),Keith Sweat,,,,,,,,,,,,,,,,,,,
271,1997,Toni Braxton,I Don't Want To / I Love Me Some Him,Toni Braxton,,,,,,,,,,,,,,,,,,,
272,1997,Various artists,The Jock Jam,Various artists,,,,,,,,,,,,,,,,,,,
273,1997,Luscious Jackson,Naked Eye,Luscious Jackson,40.79672,-73.962885,"Manhattan, New York",studio,electric,,0.0,0.010496,0.699382,284.62667,0.567939,0.403204,7,0.101399,-12.861,1,0.029113,130.987,0.629504
274,1997,Los del Rio,Macarena (Bayside Boys Mix),Los del Rio,,,,,,,,,,,,,,,,,,,
275,1997,Mr. President,Coco Jambo,Mr. President,,,,,,,,,,,,,,,,,,,
276,1997,The Cranberries,When You're Gone / Free to Decide,The Cranberries,,,,,,,,,,,,,,,,,,,
277,1997,The Blackout All-Stars,I Like It,The Blackout All-Stars,,,,,,,,,,,,,,,,,,,
278,1997,Toni Braxton,You're Makin' Me High / Let It Flow,Toni Braxton,,,,,,,,,,,,,,,,,,,
279,1998,Usher,Nice and Slow,Usher,,,,,,,,,,,,,,,,,,,
280,1998,N Sync,I Want You Back,N Sync,,,,,,,,,,,,,,,,,,,
281,1998,Five,When the Lights Go Out,Five,51.5072648,-0.1278328,"London, England",studio,electric,vocal,0.0,0.027656,0.866549,250.26667,0.780572,0.0,2,0.090213,-6.268,0,0.032973,103.994,0.898052
282,1998,Mase,Feel So Good,Mase,40.8077778,-73.9458333,"Harlem, New York City",studio,electric,vocal,0.0,0.239683,0.782456,195.37333,0.702605,0.0,1,0.136085,-7.803,0,0.253255,105.153,0.557844
283,1998,K. P. & Envyi,Swing My Way,K. P. & Envyi,,,,,,,,,,,,,,,,,,,
284,1998,Pras Michel,Ghetto Supastar (That Is What You Are),Pras Michel,,,,,,,,,,,,,,,,,,,
285,1998,Jewel,Foolish Games / You Were Meant for Me,Jewel,,,,,,,,,,,,,,,,,,,
286,1999,LFO,Summer Girls,LFO,,,,,,,,,,,,,,,,,,,
287,1999,N Sync,(God Must Have Spent) A Little More Time on You,N Sync,,,,,,,,,,,,,,,,,,,
288,1999,Matchbox 20,Back 2 Good,Matchbox 20,,,,,,,,,,,,,,,,,,,
289,1999,Jo Dee Messina,A Lesson in Leavin,Jo Dee Messina,,,,,,,,,,,,,,,,,,,
290,1999,N Sync,Music of My Heart,N Sync,,,,,,,,,,,,,,,,,,,
291,2000,Sisqo,Thong Song,Sisqo,39.2906,-76.6096,"Baltimore, MD, US",studio,electric,vocal,0.0,0.045176,0.714393,244.4,0.89852,0.000224,2,0.466153,-7.335,1,0.055267,121.504,0.675401
292,2000,Christina Aguilera,What a Girl Wants,Christina Aguilera,40.623632,-74.093323,"Staten Island, NY",studio,electric,vocal,0.0,0.005576,0.754356,245.69288,0.916668,0.058163,0,0.06027,-7.031,1,0.03443,129.979,0.661285
293,2000,Brian McKnight,Back at One,Brian McKnight,42.8854,-78.8785,"Buffalo, NY, US",studio,vocal,,0.0,0.876154,0.437696,263.26159,0.151706,0.0,11,0.143807,-15.77,1,0.053105,84.138,0.198879
294,2000,N Sync,Bye Bye Bye,N Sync,,,,,,,,,,,,,,,,,,,
295,2000,N Sync,Its Gonna Be Me,N Sync,,,,,,,,,,,,,,,,,,,
296,2000,Nelly,Country Grammar (Hot Shit),Nelly,,,,,,,,,,,,,,,,,,,
297,2000,Jagged Edge,Lets Get Married,Jagged Edge,,,,,,,,,,,,,,,,,,,
298,2000,Westlife,Swear It Again,Westlife,54.2666667,-8.4833333,"Sligo, Ireland",studio,electric,vocal,0.0,0.310766,0.529959,246.68,0.628514,0.0,9,0.137016,-3.16,1,0.030253,130.118,0.309065
299,2000,LFO,Girl on TV,LFO,,,,,,,,,,,,,,,,,,,
300,2000,Lil Bow Wow,Bounce with Me,Lil Bow Wow,,,,,,,,,,,,,,,,,,,
301,2000,Mary Mary,Shackles (Praise You),Mary Mary,33.956526,-118.358654,"Inglewood, CA",studio,electric,vocal,0.0,0.06769,0.733999,222.81556,0.885495,0.023858,7,0.073003,-5.6,1,0.0953,124.002,0.7067
302,2001,Train,Drops of Jupiter (Tell Me),Train,,,,,,,,,,,,,,,,,,,
303,2001,"Christina Aguilera, Lil Kim, Mya",Lady Marmalade,"Christina Aguilera, Lil Kim, Mya",,,,,,,,,,,,,,,,,,,
304,2001,N Sync,This I Promise You,N Sync,,,,,,,,,,,,,,,,,,,
305,2001,Nelly Furtado,Turn Off the Light,Nelly Furtado,48.433333,-123.35,"Victoria, Canada",studio,electric,vocal,0.0,0.071091,0.739298,241.37556,0.439548,0.001102,7,0.070446,-14.38,1,0.0841,90.18,0.716623
306,2002,N Sync,Girlfriend,N Sync,,,,,,,,,,,,,,,,,,,
307,2002,Ja Rule,Down 4 U,Ja Rule,,,,,,,,,,,,,,,,,,,
308,2002,N Sync,Gone,N Sync,,,,,,,,,,,,,,,,,,,
309,2002,Fat Joe,We Thuggin,Fat Joe,40.714269,-74.005973,"New York, NY",studio,electric,vocal,0.0,0.152275,0.846098,190.12,0.638516,0.0,2,0.206752,-6.122,1,0.263274,102.387,0.853676
310,2003,"Nelly,  P. Diddy",Shake Ya Tailfeather,"Nelly,  P. Diddy",,,,,,,,,,,,,,,,,,,
311,2003,Lil Kim,Magic Stick,Lil Kim,,,,,,,,,,,,,,,,,,,
312,2003,Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,,,,,,,,,,,,,,,,,,,
313,2003,Ludacris,Stand Up,Ludacris,33.844371,-84.47405,"atlanta, georgia",studio,electric,vocal,0.0,0.258789,0.744538,203.38939,0.840253,0.0,6,0.285679,-4.439,1,0.366561,98.986,0.71934
314,2003,Mya,My Love Is Like...Wo,Mya,,,,,,,,,,,,,,,,,,,
315,2003,Alan Jackson,Its Five OClock Somewhere,Alan Jackson,,,,,,,,,,,,,,,,,,,
316,2004,Lil Jon & the East Side Boyz,Get Low,Lil Jon & the East Side Boyz,,,,,,,,,,,,,,,,,,,
317,2005,Ciara,"1, 2 Step",Ciara,33.844371,-84.47405,"Atlanta, Georgia",studio,electric,,0.0,0.131584,0.757638,282.17424,0.875178,0.503175,7,0.050422,-4.89,0,0.057552,125.997,0.972513
318,2005,Bobby Valentino,Slow Down,Bobby Valentino,51.5063,-0.12714,"London, England, GB",studio,electric,vocal,0.00149134401763,0.3552,0.648183,230.91156,0.509653,1e-06,2,0.259838,-14.316,1,0.101984,93.014,0.693486
319,2005,Young Jeezy,Soul Survivor,Young Jeezy,,,,,,,,,,,,,,,,,,,
320,2006,"Nelly,  Paul Wall",Grillz,"Nelly,  Paul Wall",,,,,,,,,,,,,,,,,,,
321,2006,The Fray,How to Save a Life,The Fray,39.743291,-105.069027,"Denver, CO",studio,vocal,,0.0,0.731419,0.527023,298.23664,0.482415,0.0,7,0.59875,-6.114,0,0.030953,120.869,0.341749
322,2006,Rihanna,Unfaithful,Rihanna,13.1667,-59.5333,"Saint Michael, Barbados",studio,electric,vocal,0.0,0.006226,0.738327,219.11955,0.616672,0.0,1,0.109915,-6.923,1,0.034024,144.021,0.586845
323,2006,Jamie Foxx,Unpredictable,Jamie Foxx,,,,,,,,,,,,,,,,,,,
324,2006,Bon Jovi,Who Says You Cant Go Home,Bon Jovi,,,,,,,,,,,,,,,,,,,
325,2006,Pussycat Dolls,Beep,Pussycat Dolls,34.0535,-118.245,"Los Angeles, CA, US",studio,electric,vocal,0.0,0.003343,0.940216,248.22354,0.475877,2e-06,0,0.122354,-16.001,1,0.049014,103.628,0.491178
326,2006,John Mayer,Waiting on the World to Change,John Mayer,41.308873,-73.363661,"Bridgeport, CT",studio,electric,vocal,0.0,0.158575,0.577325,201.17333,0.755653,0.000232,2,0.249477,-5.82,1,0.11531,176.75,0.679873
327,2006,Young Jeezy,Soul Survivor,Young Jeezy,,,,,,,,,,,,,,,,,,,
328,2007,Akon,Smack That,Akon,40.314,-74.5089,New Jersey,studio,vocal,,0.0,0.474764,0.903377,217.38522,0.777866,0.0,5,0.24604,-5.186,0,0.143986,120.007,0.875661
329,2007,Soulja Boy Tell Em,Crank That (Soulja Boy),Soulja Boy Tell Em,,,,,,,,,,,,,,,,,,,
330,2007,The Fray,How to Save a Life,The Fray,39.743291,-105.069027,"Denver, CO",studio,vocal,,0.0,0.731419,0.527023,298.23664,0.482415,0.0,7,0.59875,-6.114,0,0.030953,120.869,0.341749
331,2007,Robin Thicke,Lost Without U,Robin Thicke,33.973951,-118.248405,"Los Angeles, CA",studio,electric,,0.0,0.000888,0.882416,255.32,0.337706,0.844213,0,0.107102,-14.151,1,0.122168,113.394,0.381624
332,2007,T.I.,Big Shit Poppin (Do It),T.I.,,,,,,,,,,,,,,,,,,,
333,2007,Alicia Keys,No One,Alicia Keys,40.7146,-74.0071,"New York, NY, US",studio,electric,vocal,0.0,0.03376,0.607864,247.74667,0.557079,2.9e-05,1,0.166173,-5.663,0,0.036344,91.969,0.16435
334,2007,Boys Like Girls,The Great Escape,Boys Like Girls,42.647991,-71.165685,"Andover, MA",studio,electric,vocal,0.0,0.000834,0.405932,197.85098,0.699175,2e-06,9,0.197215,-15.943,1,0.039634,76.511,0.518753
335,2007,Young Jeezy,Go Getta,Young Jeezy,,,,,,,,,,,,,,,,,,,
336,2008,T-Pain,Cant Believe It,T-Pain,,,,,,,,,,,,,,,,,,,
337,2008,Soulja Boy Tell Em,Crank That (Soulja Boy),Soulja Boy Tell Em,,,,,,,,,,,,,,,,,,,
338,2008,John Mayer,Say,John Mayer,41.308873,-73.363661,"Bridgeport, CT",studio,vocal,,0.0,0.594782,0.4637,227.4,0.748834,6e-06,10,0.075218,-5.947,1,0.039022,167.862,0.453567
339,2008,Young Jeezy,Put On,Young Jeezy,,,,,,,,,,,,,,,,,,,
340,2009,Soulja Boy Tell Em,Kiss Me thru the Phone,Soulja Boy Tell Em,,,,,,,,,,,,,,,,,,,
341,2009,"Eminem,  Dr. Dre",Crack a Bottle,"Eminem,  Dr. Dre",,,,,,,,,,,,,,,,,,,
342,2009,Soulja Boy Tell Em,Turn My Swag On,Soulja Boy Tell Em,,,,,,,,,,,,,,,,,,,
343,2009,Michael Franti & Spearhead,Say Hey (I Love You),Michael Franti & Spearhead,,,,,,,,,,,,,,,,,,,
344,2010,"Allen,  KrisKris Allen",Live Like Were Dying,"Allen,  KrisKris Allen",,,,,,,,,,,,,,,,,,,
345,2010,Rihanna,Hard,Rihanna,13.1667,-59.5333,"Saint Michael, Barbados",studio,electric,vocal,0.0,0.01242,0.41148,250.6,0.746726,0.0,1,0.648597,-3.598,1,0.069262,120.596,0.159633
346,2010,Sean Kingston,Eenie Meenie,Sean Kingston,,,,,,,,,,,,,,,,,,,
347,2011,P!nk,Fuckin Perfect,P!nk,,,,,,,,,,,,,,,,,,,
348,2012,"Kanye West,  Big Sean,  Pusha T",Mercy,"Kanye West,  Big Sean,  Pusha T",,,,,,,,,,,,,,,,,,,
349,2012,Justin Bieber,Boyfriend,Justin Bieber,43.366667,-80.983333,"Stratford, Canada",studio,electric,vocal,0.0,0.043248,0.708513,167.05261,0.260109,0.00114,1,0.241253,-18.463,1,0.101038,98.896,0.376866
350,2012,PSY,Gangnam Style,PSY,,,,,,,,,,,,,,,,,,,
351,2012,Luke Bryan,I Dont Want This Night to End,Luke Bryan,,,,,,,,,,,,,,,,,,,
352,2013,Anna Kendrick,Cups (Pitch Perfects When Im Gone),Anna Kendrick,,,,,,,,,,,,,,,,,,,
353,2013,ASAP Rocky,Fuckin Problems,ASAP Rocky,,,,,,,,,,,,,,,,,,,
354,2013,Mumford & Sons,I Will Wait,Mumford & Sons,,,,,,,,,,,,,,,,,,,
355,2013,PSY,Gangnam Style,PSY,,,,,,,,,,,,,,,,,,,
356,2013,Rihanna,Pour It Up,Rihanna,13.1667,-59.5333,"Saint Michael, Barbados",studio,electric,vocal,0.0,0.049239,0.775498,196.51197,0.281393,0.0,6,0.062852,-16.728,0,0.05903,134.006,0.359584
357,2013,Rocko,U.O.E.N.O.,Rocko,33.844371,-84.47405,Atlanta Georgia,remix,electric,vocal,0.0,0.25239,0.399766,263.36653,0.74777,0.0,10,0.849951,-5.448,0,0.502925,189.352,0.636563
358,2014,"Jessie J,  Ariana Grande ",Bang Bang,"Jessie J,  Ariana Grande ",,,,,,,,,,,,,,,,,,,
359,2014,Chris Brown,Loyal,Chris Brown,37.916613,-76.947547,"Tappahannock, VA",studio,electric,vocal,0.0,0.085617,0.838916,263.73832,0.537942,0.0,10,0.217328,-5.382,0,0.053288,98.972,0.605923
360,2014,Enrique Iglesias,Bailando,Enrique Iglesias,25.779808,-80.1532,"Miami, FL",remix,studio,electric,0.0,0.047034,0.71899,243.41333,0.782115,1e-06,7,0.048046,-3.511,1,0.152858,90.961,0.953929
361,2014,Bobby Shmurda,Hot Boy,Bobby Shmurda,,,,,,,,,,,,,,,,,,,
362,2014,Imagine Dragons,Radioactive,Imagine Dragons,36.1719,-115.14,"Las Vegas, NV, US",studio,electric,vocal,0.0,0.140495,0.464454,188.18707,0.670427,6.7e-05,9,0.320679,-8.355,1,0.064177,136.248,0.216959
363,2014,YG,My Hitta,YG,,,,,,,,,,,,,,,,,,,
364,2014,Rich Gang,Lifestyle,Rich Gang,,,,,,,,,,,,,,,,,,,
