,Year,Artist(s),Title,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
44,1966,Robert Parker,Barefootin,Robert Parker,29.9537,-90.0777,"New Orleans, LA, US",studio,electric,vocal,0.0,0.094882,0.599736,247.31574,0.843105,6.5e-05,1,0.040256,-9.73,1,0.139845,149.854,0.785278
45,1966,Paul Revere & the Raiders,Just Like Me,Paul Revere & the Raiders,,,,,,,,,,,,,,,,,,,
46,1966,Ray Conniff Singers,Somewhere My Love,Ray Conniff Singers,,,,,,,,,,,,,,,,,,,
47,1966,The Shades of Blue,Oh How Happy,The Shades of Blue,,,,,,,,,,,,,,,,,,,
48,1966,Paul Revere & the Raiders,Hungry,Paul Revere & the Raiders,,,,,,,,,,,,,,,,,,,
49,1966,Wilson Pickett,"634-5789 (Soulsville, U.S.A.)",Wilson Pickett,,,,,,,,,,,,,,,,,,,
50,1967,Frank & Nancy Sinatra,Somethin Stupid,Frank & Nancy Sinatra,,,,,,,,,,,,,,,,,,,
51,1967,The Young Rascals,Groovin,The Young Rascals,40.881,-74.1148,"Garfield, NJ, US",studio,vocal,,0.0,0.58965,0.613243,146.39946,0.21997,0.0,5,0.14351,-18.61,0,0.041222,106.663,0.631544
52,1967,Marvin Gaye & Tammi Terrell,Your Precious Love,Marvin Gaye & Tammi Terrell,,,,,,,,,,,,,,,,,,,
53,1967,Booker T & the M.G.s,Groovin,Booker T & the M.G.s,,,,,,,,,,,,,,,,,,,
54,1967,Marvin Gaye & Tammi Terrell,Aint No Mountain High Enough,Marvin Gaye & Tammi Terrell,,,,,,,,,,,,,,,,,,,
55,1967,Bill Cosby,Little Ole Man (Uptight Everythings Alright),Bill Cosby,,,,,,,,,,,,,,,,,,,
56,1968,O. C. Smith,Little Green Apples,O. C. Smith,,,,,,,,,,,,,,,,,,,
57,1968,Marvin Gaye & Tammi Terrell,Aint Nothing Like the Real Thing,Marvin Gaye & Tammi Terrell,,,,,,,,,,,,,,,,,,,
58,1968,The Bee Gees,Ive Gotta Get a Message to You,The Bee Gees,,,,,,,,,,,,,,,,,,,
59,1968,Tommy Boyce & Bobby Hart,I Wonder What Shes Doing Tonight,Tommy Boyce & Bobby Hart,,,,,,,,,,,,,,,,,,,
60,1968,Marvin Gaye & Tammi Terrell,Youre All I Need to Get By,Marvin Gaye & Tammi Terrell,,,,,,,,,,,,,,,,,,,
61,1969,The Beatles with Billy Preston,Get Back,The Beatles with Billy Preston,,,,,,,,,,,,,,,,,,,
62,1969,The Guess Who,These Eyes,The Guess Who,,,,,,,,,,,,,,,,,,,
63,1969,The Watts 103rd Street Rhythm Band,Do Your Thing,The Watts 103rd Street Rhythm Band,,,,,,,,,,,,,,,,,,,
64,1969,Sammy Davis  Jr.,Ive Gotta Be Me,Sammy Davis  Jr.,,,,,,,,,,,,,,,,,,,
65,1969,Mama Cass Elliot,Its Getting Better,Mama Cass Elliot,,,,,,,,,,,,,,,,,,,
66,1969,Booker T & the M.G.s,Time is Tight,Booker T & the M.G.s,,,,,,,,,,,,,,,,,,,
67,1969,The Supremes & The Temptations,Im Gonna Make You Love Me,The Supremes & The Temptations,,,,,,,,,,,,,,,,,,,
68,1969,Crazy Elephant,Gimme Gimme Good Lovin,Crazy Elephant,,,,,,,,,,,,,,,,,,,
69,1969,Booker T & the M.G.s,Hang Em High,Booker T & the M.G.s,,,,,,,,,,,,,,,,,,,
70,1969,Paul Revere & the Raiders,"Mr. Sun, Mr. Moon",Paul Revere & the Raiders,,,,,,,,,,,,,,,,,,,
71,1969,The Guess Who,Laughing,The Guess Who,,,,,,,,,,,,,,,,,,,
72,1969,Paul Revere & the Raiders,Let Me,Paul Revere & the Raiders,,,,,,,,,,,,,,,,,,,
73,1970,The Guess Who,American Woman,The Guess Who,,,,,,,,,,,,,,,,,,,
74,1970,Eric Burdon & War,Spill the Wine,Eric Burdon & War,,,,,,,,,,,,,,,,,,,
75,1970,Kenny Rogers & The First Edition,Somethings Burning,Kenny Rogers & The First Edition,37.2719,-119.27,"California, US",studio,electric,vocal,0.0,0.150882,0.402616,237.37333,0.287211,0.009918,9,0.106403,-16.524,1,0.031606,90.049,0.460693
76,1970,Alive N Kickin,"Tighter, Tighter",Alive N Kickin,,,,,,,,,,,,,,,,,,,
77,1970,The Four Tops,Still Water (Love),The Four Tops,,,,,,,,,,,,,,,,,,,
78,1970,Frijid Pink,The House of the Rising Sun,Frijid Pink,,,,,,,,,,,,,,,,,,,
79,1970,The Brotherhood of Man,United We Stand,The Brotherhood of Man,,,,,,,,,,,,,,,,,,,
80,1970,The Guess Who,No Time,The Guess Who,,,,,,,,,,,,,,,,,,,
81,1970,100 Proof (Aged in Soul),Somebodys Been Sleeping,100 Proof (Aged in Soul),,,,,,,,,,,,,,,,,,,
82,1970,Tom Jones,Without Love (There Is Nothing),Tom Jones,,,,,,,,,,,,,,,,,,,
83,1971,Paul Revere & the Raiders,Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & the Raiders,,,,,,,,,,,,,,,,,,,
84,1971,Paul & Linda McCartney,Uncle Albert/Admiral Halsey,Paul & Linda McCartney,,,,,,,,,,,,,,,,,,,
85,1971,Murray Head & The Trindad Singers,Superstar,Murray Head & The Trindad Singers,,,,,,,,,,,,,,,,,,,
86,1971,Ocean,Put Your Hand in the Hand,Ocean,34.235,-77.946,"Wilmington, NC, US",studio,electric,vocal,0.0,0.04889,0.833118,176.70667,0.474657,0.000104,9,0.075902,-14.951,1,0.040293,136.384,0.976598
87,1971,Cher,"Gypsys, Tramps & Thieves",Cher,,,,,,,,,,,,,,,,,,,
88,1971,Delaney & Bonnie & Friends,Never Ending Song of Love,Delaney & Bonnie & Friends,,,,,,,,,,,,,,,,,,,
89,1971,The Honey Cone,Stick-Up,The Honey Cone,,,,,,,,,,,,,,,,,,,
90,1971,Paul Stookey,The Wedding Song (There Is Love),Paul Stookey,,,,,,,,,,,,,,,,,,,
91,1971,Perry Como,Somos Novios (Its Impossible),Perry Como,,,,,,,,,,,,,,,,,,,
92,1972,The 5th Dimension,(Last Night) I Didnt Get to Sleep at All,The 5th Dimension,,,,,,,,,,,,,,,,,,,
93,1972,Arlo Guthrie,City of New Orleans,Arlo Guthrie,42.366,-73.1163,"Washington, MA, US",childrens,vocal,,0.0,0.745828,0.450571,260.17333,0.459851,0.006812,5,0.727552,-9.06,1,0.026902,83.973,0.310522
94,1972,Ricky Nelson,Garden Party,Ricky Nelson,,,,,,,,,,,,,,,,,,,
95,1972,Roberta Flack & Donny Hathaway,Where Is the Love,Roberta Flack & Donny Hathaway,,,,,,,,,,,,,,,,,,,
96,1972,Dr. Hook & The Medicine Show,Sylvias Mother,Dr. Hook & The Medicine Show,,,,,,,,,,,,,,,,,,,
97,1972,Jerry Butler & Brenda Lee Eager,Aint Understanding Mellow,Jerry Butler & Brenda Lee Eager,,,,,,,,,,,,,,,,,,,
98,1972,Beverly Bremers,Dont Say You Dont Remember,Beverly Bremers,,,,,,,,,,,,,,,,,,,
99,1972,Original Cast of Godspell,Day by Day,Original Cast of Godspell,,,,,,,,,,,,,,,,,,,
100,1972,The Hillside Singers,Id Like to Teach the World to Sing (In Perfect Harmony),The Hillside Singers,,,,,,,,,,,,,,,,,,,
101,1973,Paul McCartney & Wings,My Love,Paul McCartney & Wings,,,,,,,,,,,,,,,,,,,
102,1973,Dr. Hook & The Medicine Show,The Cover of the Rolling Stone,Dr. Hook & The Medicine Show,,,,,,,,,,,,,,,,,,,
103,1973,Paul McCartney & Wings,Live and Let Die,Paul McCartney & Wings,,,,,,,,,,,,,,,,,,,
104,1973,The Four Tops,Aint No Woman (Like the One Ive Got),The Four Tops,,,,,,,,,,,,,,,,,,,
105,1973,Eric Weissberg & Steve Mandell,Dueling Banjos,Eric Weissberg & Steve Mandell,,,,,,,,,,,,,,,,,,,
